location_code,city,state,country,location_code_parent,country_iso_code,location_type
1020329,"Festus","Missouri","United States",21157,US,City
1020330,"Flemington","Missouri","United States",21157,US,City
1020331,"Florissant","Missouri","United States",21157,US,City
1020332,"Fordland","Missouri","United States",21157,US,City
1020333,"Foristell","Missouri","United States",21157,US,City
1020334,"Forsyth","Missouri","United States",21157,US,City
1020335,"Fredericktown","Missouri","United States",21157,US,City
1020336,"Freeman","Missouri","United States",21157,US,City
1020337,"Fort Leonard Wood","Missouri","United States",21157,US,City
1020338,"Fulton","Missouri","United States",21157,US,City
1020339,"Gainesville","Missouri","United States",21157,US,City
1020340,"Galena","Missouri","United States",21157,US,City
1020341,"Gallatin","Missouri","United States",21157,US,City
1020342,"Galt","Missouri","United States",21157,US,City
1020343,"Garden City","Missouri","United States",21157,US,City
1020344,"Gasconade","Missouri","United States",21157,US,City
1020345,"Gatewood","Missouri","United States",21157,US,City
1020346,"Gentry","Missouri","United States",21157,US,City
1020347,"Gerald","Missouri","United States",21157,US,City
1020348,"Gideon","Missouri","United States",21157,US,City
1020349,"Gilman City","Missouri","United States",21157,US,City
1020350,"Glasgow","Missouri","United States",21157,US,City
1020351,"Glencoe","Missouri","United States",21157,US,Neighborhood
1020352,"Golden City","Missouri","United States",21157,US,City
1020353,"South Gorin","Missouri","United States",21157,US,City
1020354,"Gower","Missouri","United States",21157,US,City
1020355,"Graham","Missouri","United States",21157,US,City
1020356,"Grain Valley","Missouri","United States",21157,US,City
1020357,"Granby","Missouri","United States",21157,US,City
1020358,"Grandview","Missouri","United States",21157,US,City
1020359,"Grant City","Missouri","United States",21157,US,City
1020360,"Green City","Missouri","United States",21157,US,City
1020361,"Green Ridge","Missouri","United States",21157,US,City
1020362,"Greenfield","Missouri","United States",21157,US,City
1020363,"Greenville","Missouri","United States",21157,US,City
1020364,"Greenwood","Missouri","United States",21157,US,City
1020365,"Grover","Missouri","United States",21157,US,Neighborhood
1020366,"Hale","Missouri","United States",21157,US,City
1020367,"Halfway","Missouri","United States",21157,US,City
1020368,"Hallsville","Missouri","United States",21157,US,City
1020369,"Hamilton","Missouri","United States",21157,US,City
1020370,"Hannibal","Missouri","United States",21157,US,City
1020371,"Hardin","Missouri","United States",21157,US,City
1020372,"Harrisburg","Missouri","United States",21157,US,City
1020373,"Harrisonville","Missouri","United States",21157,US,City
1020374,"Hartville","Missouri","United States",21157,US,City
1020375,"Hawk Point","Missouri","United States",21157,US,City
1020376,"Hayti","Missouri","United States",21157,US,City
1020377,"Hazelwood","Missouri","United States",21157,US,City
1020378,"Herculaneum","Missouri","United States",21157,US,City
1020379,"Hermann","Missouri","United States",21157,US,City
1020380,"Hermitage","Missouri","United States",21157,US,City
1020381,"Higbee","Missouri","United States",21157,US,City
1020382,"Higginsville","Missouri","United States",21157,US,City
1020383,"High Ridge","Missouri","United States",21157,US,City
1020384,"Hillsboro","Missouri","United States",21157,US,City
1020385,"Holcomb","Missouri","United States",21157,US,City
1020386,"Holden","Missouri","United States",21157,US,City
1020387,"Holliday","Missouri","United States",21157,US,City
1020388,"Hollister","Missouri","United States",21157,US,City
1020389,"Holt","Missouri","United States",21157,US,City
1020390,"Holts Summit","Missouri","United States",21157,US,City
1020391,"Hopkins","Missouri","United States",21157,US,City
1020392,"Hornersville","Missouri","United States",21157,US,City
1020393,"House Springs","Missouri","United States",21157,US,City
1020394,"Houston","Missouri","United States",21157,US,City
1020395,"Hughesville","Missouri","United States",21157,US,City
1020396,"Humansville","Missouri","United States",21157,US,City
1020397,"Hume","Missouri","United States",21157,US,City
